version,name,live_body_md5,supabase_present,backend_present,supabase_definition,backend_definition,superseded,action
20260831034744,add_market_explorer_query_cache,1e2a29ebc6a6c7c7ae15d9e6008c98c5,true,true,formatting_equivalent,exact_normalized,not_established,none
20260831050000,fix_bounded_set_value_refresh_carry_forward,2277a16343db22220799f7fa7a645163,true,true,formatting_equivalent,exact_normalized,not_established,none
20260831051014,bound_market_explorer_cache_state_invalidation,dd198e2daae34702d32fdfede518837c,true,true,formatting_equivalent,exact_normalized,not_established,none
20260831165231,add_market_explorer_filter_first_candidate,a11cf204c98879dfb6674ca41ba7be00,true,true,exact_normalized,exact_normalized,not_established,none
20260831165345,test_market_explorer_reduced_materialization_candidate,656dc457f627db5dc8712cce2fa7fd5d,true,true,exact_normalized,exact_normalized,not_established,none
20260831165535,restore_market_explorer_filter_first_candidate,a11cf204c98879dfb6674ca41ba7be00,true,true,exact_normalized,exact_normalized,not_established,none
20260831165651,remove_failed_market_explorer_filter_first_candidate,851f5f9cb27185fb531eacdb23e8f2ff,true,true,exact_normalized,exact_normalized,not_established,none
20260831172023,add_market_explorer_open_static_index,d17cc9d2c1615083650d54a1f68d7f80,true,true,exact_normalized,exact_normalized,not_established,none
20260831174428,add_market_explorer_card_daily_serving_projection,363bde6ae09bf315160d8a21c7f2a444,true,true,exact_normalized,exact_normalized,not_established,none
20260831232232,promote_market_explorer_daily_projection_rpc,b874e13e8d66d7892c5a8f1f5f207254,true,true,exact_normalized,exact_normalized,not_established,none
20260831233143,tune_market_explorer_daily_projection_ten_set,9767ed558b13accfd705c746aa83bf66,true,true,exact_normalized,exact_normalized,not_established,none
20260831233320,harden_market_explorer_daily_projection_search_path,5a202ede6ddf90193c68060254d93f4c,true,true,exact_normalized,exact_normalized,not_established,none
20260901171835,fix_market_explorer_staggered_start_coverage,5db6fda9a30a3af23f34cf01986e10f8,true,true,formatting_equivalent,exact_normalized,not_established,none
