card_name,set_name,rarity,subject_name,market_price,predicted_price,predicted_log_price,log_price,card_scarcity,subject_demand,card_chase_appeal,pull_probability,alternative_printings_of_subject,set_age_days
Team Rocket's Nidoking ex,Destined Rivals,Double Rare,Nidoking,0.62,1.03,0.03173,-0.4780358009429998,0.46724922562178384,60.6343,0.09937736880059475,0.011627906976744186,3,411
Team Rocket's Crobat ex,Destined Rivals,Double Rare,Crobat,0.62,1.17,0.15677,-0.4780358009429998,0.46724922562178384,63.8304,0.12924487380079036,0.011627906976744186,4,411
Archaludon ex,Surging Sparks,Double Rare,Archaludon,0.62,0.71,-0.33927,-0.4780358009429998,0.5126529326323852,45.5437,0.0,0.009433962264150943,3,614
Banette ex,Scarlet and Violet Base Set,Double Rare,Banette,0.61,1.46,0.37555,-0.4942963218147801,0.46975962630930923,63.7875,0.12953621695479203,0.011494252873563218,2,1202
Oinkologne ex,Scarlet and Violet Base Set,Double Rare,Oinkologne Male,0.61,0.75,-0.29348,-0.4942963218147801,0.46975962630930923,35.8111,0.0,0.011494252873563218,2,1202
Medicham ex,Stellar Crown,Double Rare,Medicham,0.61,0.98,-0.02002,-0.4942963218147801,0.5126529326323852,42.8782,0.0,0.009433962264150943,2,670
Krookodile ex,Chaos Rising,double rare,Krookodile,0.61,0.51,-0.67506,-0.4942963218147801,0.3450980400142568,58.2669,0.05705781973987719,0.02040816326530612,1,54
Sandy Shocks ex,Paradox Rift,Double Rare,Sandy Shocks,0.61,0.74,-0.30157,-0.4942963218147801,0.5536049848239342,30.23,0.0,0.0078125,3,985
Stunfisk ex,Ascended Heroes,Double Rare,Stunfisk,0.61,0.51,-0.66676,-0.4942963218147801,0.6405166836238638,50.363,0.004650151123109246,0.005235602094240838,2,166
Iron Crown ex,Temporal Forces,Double Rare,Iron Crown,0.61,0.67,-0.3998,-0.4942963218147801,0.4746950033224564,29.4451,0.0,0.011235955056179775,4,845
Mega Latias ex,Mega Evolution,Double Rare,Latias,0.61,0.52,-0.65345,-0.4942963218147801,0.3406206186877936,56.1733,0.042055065306907106,0.020833333333333332,3,292
