set_name,subject_name,subject_demand,demand_share_q_s,printing_count,selected_easiest_card,selected_rarest_card,reachable_access,elite_scarcity,dual_path,contribution,same_card_both_paths,elite_tie_count
Surging Sparks,Sylveon,75.5845,0.148773,1,Sylveon ex #86 (Double Rare),Sylveon ex #86 (Double Rare),0.487347,0.512653,0.24984,0.03717,True,0
Surging Sparks,Hydreigon,61.883,0.069099,3,Hydreigon ex #119 (Double Rare),Hydreigon ex #240 (Special Illustration Rare),0.487347,0.991136,0.483027,0.033377,False,0
Surging Sparks,Milotic,61.7857,0.068534,3,Milotic ex #42 (Double Rare),Milotic ex #237 (Special Illustration Rare),0.487347,0.991136,0.483027,0.033104,False,0
Surging Sparks,Durant,60.1252,0.058878,3,Durant ex #4 (Double Rare),Durant ex #236 (Special Illustration Rare),0.487347,0.991136,0.483027,0.02844,False,0
Surging Sparks,Ceruledge,62.501,0.072693,2,Ceruledge ex #36 (Double Rare),Ceruledge #197 (Illustration Rare),0.487347,0.738561,0.359935,0.026165,False,0
Surging Sparks,Latias,56.1733,0.035898,3,Latias ex #76 (Double Rare),Latias ex #239 (Special Illustration Rare),0.487347,0.991136,0.483027,0.01734,False,0
Surging Sparks,Spheal,64.1434,0.082244,1,Spheal #199 (Illustration Rare),Spheal #199 (Illustration Rare),0.261439,0.738561,0.193089,0.01588,True,0
Surging Sparks,Appletun,59.2505,0.053791,1,Appletun #211 (Illustration Rare),Appletun #211 (Illustration Rare),0.261439,0.738561,0.193089,0.010387,True,0
Surging Sparks,Skarmory,56.7853,0.039456,1,Skarmory #209 (Illustration Rare),Skarmory #209 (Illustration Rare),0.261439,0.738561,0.193089,0.007619,True,0
Surging Sparks,Phanpy,54.2265,0.024577,1,Phanpy #205 (Illustration Rare),Phanpy #205 (Illustration Rare),0.261439,0.738561,0.193089,0.004746,True,0
Surging Sparks,Bruxish,52.7422,0.015946,1,Bruxish #200 (Illustration Rare),Bruxish #200 (Illustration Rare),0.261439,0.738561,0.193089,0.003079,True,0
Surging Sparks,Latios,51.5172,0.008822,1,Latios #203 (Illustration Rare),Latios #203 (Illustration Rare),0.261439,0.738561,0.193089,0.001704,True,0
Surging Sparks,Stunfisk,50.363,0.002111,1,Stunfisk #202 (Illustration Rare),Stunfisk #202 (Illustration Rare),0.261439,0.738561,0.193089,0.000408,True,0
Perfect Order,Decidueye,62.8154,0.118963,2,Decidueye ex #12 (Double Rare),Decidueye ex #100 (Ultra Rare),0.683266,0.662141,0.452418,0.053821,False,0
Perfect Order,Meowth,59.3884,0.087151,3,Meowth ex #62 (Double Rare),Meowth ex #121 (Special Illustration Rare),0.683266,0.843764,0.576515,0.050244,False,0
Perfect Order,Rowlet,68.261,0.169514,1,Rowlet #90 (Illustration Rare),Rowlet #90 (Illustration Rare),0.504387,0.495613,0.249981,0.042375,True,0
Perfect Order,Espurr,67.1471,0.159174,1,Espurr #95 (Illustration Rare),Espurr #95 (Illustration Rare),0.504387,0.495613,0.249981,0.03979,True,0
Perfect Order,Lapras,64.8141,0.137517,1,Lapras ex #22 (Double Rare),Lapras ex #22 (Double Rare),0.683266,0.316734,0.216414,0.029761,True,0
Perfect Order,Skarmory,56.7853,0.062987,2,Mega Skarmory ex #55 (Double Rare),Mega Skarmory ex #106 (Ultra Rare),0.683266,0.662141,0.452418,0.028496,False,0
Perfect Order,Yveltal,55.8461,0.054268,2,Yveltal ex #53 (Double Rare),Yveltal ex #105 (Ultra Rare),0.683266,0.662141,0.452418,0.024552,False,0
Perfect Order,Starmie,54.5781,0.042498,3,Mega Starmie ex #21 (Double Rare),Mega Starmie ex #118 (Special Illustration Rare),0.683266,0.843764,0.576515,0.024501,False,0
Perfect Order,Clefairy,57.4096,0.068782,1,Clefairy #94 (Illustration Rare),Clefairy #94 (Illustration Rare),0.504387,0.495613,0.249981,0.017194,True,0
Perfect Order,Zygarde 50,52.4605,0.02284,4,Mega Zygarde ex #47 (Double Rare),Mega Zygarde ex #124 (Mega Hyper Rare),0.683266,1.0,0.683266,0.015606,False,1
Perfect Order,Dedenne,54.8862,0.045358,1,Dedenne #93 (Illustration Rare),Dedenne #93 (Illustration Rare),0.504387,0.495613,0.249981,0.011339,True,0
Perfect Order,Talonflame,52.7705,0.025718,1,Talonflame #91 (Illustration Rare),Talonflame #91 (Illustration Rare),0.504387,0.495613,0.249981,0.006429,True,0
Perfect Order,Clefable,50.5634,0.00523,3,Mega Clefable ex #31 (Double Rare),Mega Clefable ex #119 (Special Illustration Rare),0.683266,0.843764,0.576515,0.003015,False,0
Scarlet and Violet Base Set,Gardevoir,70.8255,0.206497,3,Gardevoir ex #86 (Double Rare),Gardevoir ex #245 (Special Illustration Rare),0.53024,0.751214,0.398324,0.082253,False,0
Scarlet and Violet Base Set,Arcanine,70.5984,0.204245,2,Arcanine ex #32 (Double Rare),Arcanine ex #224 (Ultra Rare),0.53024,0.744979,0.395018,0.08068,False,0
Scarlet and Violet Base Set,Banette,63.7875,0.136711,2,Banette ex #88 (Double Rare),Banette ex #229 (Ultra Rare),0.53024,0.744979,0.395018,0.054003,False,0
Scarlet and Violet Base Set,Gyarados,60.9528,0.108603,2,Gyarados ex #45 (Double Rare),Gyarados ex #225 (Ultra Rare),0.53024,0.744979,0.395018,0.0429,False,0
Scarlet and Violet Base Set,Slowpoke,65.6317,0.154997,1,Slowpoke #204 (Illustration Rare),Slowpoke #204 (Illustration Rare),0.252228,0.747772,0.188609,0.029234,True,0
Scarlet and Violet Base Set,Toxicroak,52.3821,0.02362,2,Toxicroak ex #131 (Double Rare),Toxicroak ex #232 (Ultra Rare),0.53024,0.744979,0.395018,0.00933,False,0
Scarlet and Violet Base Set,Riolu,54.907,0.048656,1,Riolu #215 (Illustration Rare),Riolu #215 (Illustration Rare),0.252228,0.747772,0.188609,0.009177,True,0
Scarlet and Violet Base Set,Ralts,54.8321,0.047913,1,Ralts #211 (Illustration Rare),Ralts #211 (Illustration Rare),0.252228,0.747772,0.188609,0.009037,True,0
Scarlet and Violet Base Set,Pachirisu,54.7632,0.04723,1,Pachirisu #208 (Illustration Rare),Pachirisu #208 (Illustration Rare),0.252228,0.747772,0.188609,0.008908,True,0
Scarlet and Violet Base Set,Magnezone,52.1712,0.021529,2,Magnezone ex #65 (Double Rare),Magnezone ex #226 (Ultra Rare),0.53024,0.744979,0.395018,0.008504,False,0
Twilight Masquerade,Greninja,75.1085,0.185124,3,Greninja ex #106 (Double Rare),Greninja ex #214 (Special Illustration Rare),0.540461,0.986795,0.533324,0.098731,False,0
Twilight Masquerade,Luxray,68.1912,0.134123,2,Luxray ex #68 (Double Rare),Luxray ex #195 (Ultra Rare),0.540461,0.751214,0.406002,0.054454,False,0
Twilight Masquerade,Eevee,81.323,0.230944,1,Eevee #188 (Illustration Rare),Eevee #188 (Illustration Rare),0.282716,0.717284,0.202787,0.046833,True,0
Twilight Masquerade,Dragapult,63.4932,0.099485,2,Dragapult ex #130 (Double Rare),Dragapult ex #200 (Ultra Rare),0.540461,0.751214,0.406002,0.040391,False,0
Twilight Masquerade,Ogerpon,55.8239,0.042939,13,Teal Mask Ogerpon ex #25 (Double Rare),Teal Mask Ogerpon ex #211 (Special Illustration Rare),0.540461,0.986795,0.533324,0.022901,False,0
Twilight Masquerade,Infernape,64.8651,0.1096,1,Infernape #173 (Illustration Rare),Infernape #173 (Illustration Rare),0.282716,0.717284,0.202787,0.022226,True,0
Twilight Masquerade,Froslass,61.2803,0.083169,1,Froslass #174 (Illustration Rare),Froslass #174 (Illustration Rare),0.282716,0.717284,0.202787,0.016866,True,0
Twilight Masquerade,Growlithe,60.0575,0.074154,1,Hisuian Growlithe #181 (Illustration Rare),Hisuian Growlithe #181 (Illustration Rare),0.282716,0.717284,0.202787,0.015037,True,0
Twilight Masquerade,Cramorant,52.991,0.022053,1,Cramorant #176 (Illustration Rare),Cramorant #176 (Illustration Rare),0.282716,0.717284,0.202787,0.004472,True,0
Twilight Masquerade,Chimecho,51.4129,0.010417,1,Chimecho #179 (Illustration Rare),Chimecho #179 (Illustration Rare),0.282716,0.717284,0.202787,0.002112,True,0
Twilight Masquerade,Applin,50.6874,0.005068,1,Applin #185 (Illustration Rare),Applin #185 (Illustration Rare),0.282716,0.717284,0.202787,0.001028,True,0
Twilight Masquerade,Chansey,50.3964,0.002923,1,Chansey #187 (Illustration Rare),Chansey #187 (Illustration Rare),0.282716,0.717284,0.202787,0.000593,True,0
