predictor,outcome,spearman,pearson_log
distinct_subject_count,top3_value_concentration,-0.1918,0.0287
D1,value_hhi,0.2974,0.2642
A_star,value_hhi,0.4013,0.3899
M1_star,value_hhi,0.1169,0.0116
D1_M1_F4_market_chase,value_hhi,0.1571,0.1171
dual_path_depth,value_hhi,0.4675,0.3436
complement_gap,value_hhi,0.3831,0.2592
axis_position,value_hhi,0.1987,0.2566
CA0_desirability_only,value_hhi,0.2974,0.2642
CA1_accessible,value_hhi,0.4325,0.457
CA2_chase,value_hhi,0.1571,0.1171
CA3_geometric_balance,value_hhi,0.3558,0.4287
CA4_linear_75_25,value_hhi,0.4675,0.4895
CA4_linear_60_40,value_hhi,0.3675,0.3905
CA4_linear_50_50,value_hhi,0.2896,0.3174
CA4_linear_40_60,value_hhi,0.2688,0.2562
CA4_linear_25_75,value_hhi,0.1714,0.1879
CA5_interaction_45_45_10,value_hhi,0.3117,0.3325
CA5_interaction_40_40_20,value_hhi,0.3221,0.3481
CA5_interaction_35_35_30,value_hhi,0.3364,0.364
CA6_dual_path_utility,value_hhi,0.3805,0.3917
profit_score,value_hhi,-0.1345,-0.3681
safety_score,value_hhi,0.2195,0.1635
stability_score,value_hhi,-0.7455,-0.7883
checklist_size,value_hhi,-0.261,-0.3191
eligible_card_count,value_hhi,-0.1852,-0.1034
distinct_subject_count,value_hhi,-0.2295,-0.0278
