set_name,era,release_date,checklist_size,eligible_card_count,distinct_subject_count,D1,A_star,M1_star,dual_path_depth,complement_gap,axis_position,multi_printing_subject_count,D1_M1_F4_market_chase,excess_chase_appeal,excess_chase_intensity,CA0_desirability_only,CA1_accessible,CA2_chase,CA3_geometric_balance,CA4_linear_75_25,CA4_linear_60_40,CA4_linear_50_50,CA4_linear_40_60,CA4_linear_25_75,CA5_interaction_45_45_10,CA5_interaction_40_40_20,CA5_interaction_35_35_30,CA6_dual_path_utility,profit_score,safety_score,stability_score,top_card_value,top_10_card_value,top_10_avg_value,set_value
White Flare,Scarlet and Violet,2025-07-18,173,88,75,0.873,0.08848688965781454,0.9641979261283569,0.13514803077333384,0.05268481578617146,0.08405829392697216,3,0.8417447895100555,0.077447,0.096142,0.873,0.07724905467127209,0.8417447895100555,0.25499801815724116,0.26837298838096796,0.3830473486067855,0.45949692209066384,0.5359464955745421,0.6506208558003598,0.42099556771253915,0.38249421333441436,0.3439928589562896,0.4954921154325603,14.67,11.7,43.58,541.43,1784.64,178.464,3301.95
Mega Evolution,Mega Evolution,2025-09-26,188,50,32,0.8719979999999999,0.3495078920548403,0.8958027054169936,0.4466030381700088,0.24531059747183392,0.28065921286174983,6,0.7811381675182075,0.168616,0.16544,0.8719979999999999,0.3047701828560366,0.7811381675182075,0.48792173773091263,0.42386217902157935,0.49531737672090503,0.5429541751871221,0.5905909736533391,0.6620461713526647,0.5159601531016967,0.48896613101627157,0.46197210893084617,0.6307174780390856,14.12,19.29,49.05,279.86,1415.83,141.583,1732.68
Paradox Rift,Scarlet and Violet,2023-11-03,266,84,53,0.866458,0.2575059991975588,0.7937437207913036,0.2982903763399622,0.05124971998886241,0.24495226424439567,10,0.6877455968293913,-0.093217,-0.062981,0.866458,0.22311813305271838,0.6877455968293913,0.39172504844571954,0.3392749989968866,0.4089691185633876,0.45543186494105486,0.5018946113187222,0.5715887308852231,0.4275985401574767,0.3997652153738987,0.3719318905903205,0.5624570414513854,20.16,17.16,72.48,117.26,523.69,52.369,1256.87
Stellar Crown,Scarlet and Violet,2024-09-13,175,39,27,0.863548,0.2925299917325611,0.5323939932206665,0.2591919249492303,-0.1750760150467724,0.3546144821442515,3,0.4597477680577201,-0.064556,-0.137452,0.863548,0.2526136893006697,0.4597477680577201,0.34079110879952434,0.30439720898993233,0.33546732080348984,0.35618072867919487,0.37689413655489995,0.40796424836845746,0.33401165689017426,0.3118425851011536,0.28967351331213287,0.5436863342030289,19.97,16.57,40.28,120.58,479.22,47.922,647.66
Temporal Forces,Scarlet and Violet,2024-03-22,218,61,37,0.8603489999999999,0.2744742690721532,0.7180299916644459,0.2901613232921157,-0.007495739263400858,0.2765471947379337,4,0.6177563852985143,-0.0644,-0.060767,0.8603489999999999,0.23614366292195793,0.6177563852985143,0.38194142956455973,0.331546843516097,0.38878875187258055,0.42695002411023614,0.4651112963478917,0.5223532047043752,0.40121084493115905,0.37547166575208196,0.3497324865730048,0.5549945021665241,23.29,15.84,67.43,101.81,633.82,63.382,1278.35
Black Bolt,Scarlet and Violet,2025-07-18,172,88,74,0.840138,0.08910661434812375,0.9641979261283569,0.1362285900793033,0.0533045404764807,0.08459719950301821,5,0.8100593172616255,0.044349,0.096142,0.840138,0.074861852765204,0.8100593172616255,0.24625706353305174,0.2586612188893094,0.36894083856377263,0.4424605850134148,0.5159803314630569,0.6262599511375202,0.4054326908303069,0.36840479664719905,0.3313769024640911,0.4772944076060229,13.77,10.7,36.32,583.68,2102.69,210.269,3668.99
Perfect Order,Mega Evolution,2026-03-27,124,33,20,0.816048,0.38793581576346586,0.4598372758349566,0.347123027309465,-0.1522269084015775,0.45759392413840055,7,0.37524928927056467,-0.109297,-0.169319,0.816048,0.3165742465821448,0.37524928927056467,0.34466543347326595,0.33124300725424977,0.3400442636575128,0.34591176792635475,0.3517792721951967,0.3605805285984597,0.325877855048503,0.30584394217065125,0.2858100292927995,0.5496585260949172,24.13,25.9,52.23,141.87,590.45,59.045,694.2
Twilight Masquerade,Scarlet and Violet,2024-05-24,226,58,32,0.811802,0.27877743921115145,0.8049233815210814,0.32564287886613696,0.08370082073223295,0.2572457581261105,4,0.653438410965577,-0.022458,0.03841,0.811802,0.22631208270649117,0.653438410965577,0.38455299726570824,0.3330936647712626,0.3971626140101255,0.4398752468360341,0.4825878796619426,0.5466568289008055,0.4141041108415494,0.3883329748470648,0.3625618388525801,0.5380797701746439,21.96,21.32,44.36,401.63,979.9,97.99,1404.65
Scarlet and Violet Base Set,Scarlet and Violet,2023-03-31,258,56,36,0.756024,0.3103478901782332,0.7486549856644782,0.33402686135045584,0.059002875842711466,0.29305670197663153,6,0.5660011368820015,-0.08252,-0.009311,0.756024,0.2346304533241086,0.5660011368820015,0.3644188569881982,0.3174731242135818,0.3671787267472657,0.40031579510305504,0.4334528634588443,0.4831584659925282,0.3778499414597306,0.3553840878164061,0.3329182341730817,0.5042781619128085,21.44,18.58,66.93,78.87,443.59,44.359,845.54
Chaos Rising,Mega Evolution,2026-05-22,122,34,21,0.698947,0.3855515809627386,0.7483237792453181,0.37190870532848597,0.13387536020805668,0.3400299490518897,4,0.5230386605321774,0.030879,0.111896,0.698947,0.2694801208591633,0.5230386605321774,0.3754311141264479,0.3328697557774168,0.3709035367283689,0.3962593906956703,0.4216152446629717,0.45964902561392385,0.3767992898733847,0.3573391890510991,0.3378790882288134,0.47944573693161463,22.6,24.32,35.62,243.29,659.93,65.993,769.23
