benchmark_row_id,partition,canonical_card_id,card_variant_id,target_card_name,target_set_name,target_card_number,target_treatment,listing_item_id,listing_title,category_id,condition,condition_id,localized_aspects_json,buying_options_json,seller_id,image_url,item_url,observed_at
D3-BE8D91EC7B71538B,COVERAGE_BLIND,0dde3317-5162-49d1-b5c9-6b206a086d2c,7a7c3304-cc14-4aab-9f7b-b88270d4228c,Tinkatuff,Paldean Fates,166,shiny_rare,v1|377264579596|0,Tinkatuff - 166/091 - Baby Shiny - Paldean Fates - Pokemon Card - NM/M,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",josephguzman13,https://i.ebayimg.com/images/g/RBMAAeSwOUVqMBqU/s-l225.jpg,https://www.ebay.com/itm/377264579596?_skw=Tinkatuff+166+Paldean+Fates+Pokemon+card&hash=item57d6b8a40c:g:RBMAAeSwOUVqMBqU,2026-09-12T23:42:48.395762+00:00
D3-758F02BC15719DBA,COVERAGE_BLIND,0dde3317-5162-49d1-b5c9-6b206a086d2c,7a7c3304-cc14-4aab-9f7b-b88270d4228c,Tinkatuff,Paldean Fates,166,shiny_rare,v1|318635071504|0,Tinkatuff #166/91 (Holo) (NM) SV: Paldean Fates PAF Pokemon,,Ungraded,4000,[],"[""FIXED_PRICE""]",guildhallgames,https://i.ebayimg.com/images/g/yv8AAeSwddFqnoeh/s-l225.jpg,https://www.ebay.com/itm/318635071504?_skw=Tinkatuff+166+Paldean+Fates+Pokemon+card&hash=item4a30215810:g:yv8AAeSwddFqnoeh,2026-09-12T23:42:48.395762+00:00
D3-0124019795F8BC68,COVERAGE_BLIND,0dde3317-5162-49d1-b5c9-6b206a086d2c,7a7c3304-cc14-4aab-9f7b-b88270d4228c,Tinkatuff,Paldean Fates,166,shiny_rare,v1|298580488843|0,Pokémon Tinkatuff 90 HP Shiny Rare Holo SV: Paldean Fates 166/091 EN,,Ungraded,4000,[],"[""FIXED_PRICE""]",lewistcg52,https://i.ebayimg.com/images/g/jMoAAeSwaRZqe-Fu/s-l225.jpg,https://www.ebay.com/itm/298580488843?_skw=Tinkatuff+166+Paldean+Fates+Pokemon+card&hash=item4584c8b28b:g:jMoAAeSwaRZqe-Fu,2026-09-12T23:42:48.395762+00:00
D3-6102DBB3FDB8ABFB,COVERAGE_BLIND,0dde3317-5162-49d1-b5c9-6b206a086d2c,7a7c3304-cc14-4aab-9f7b-b88270d4228c,Tinkatuff,Paldean Fates,166,shiny_rare,v1|188902009913|0,Tinkatuff Holo Shiny Rare SV: Paldean Fates 166/091 NM,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",ceruleancardsllc,https://i.ebayimg.com/images/g/uKAAAeSwP-Rqn5hr/s-l225.jpg,https://www.ebay.com/itm/188902009913?_skw=Tinkatuff+166+Paldean+Fates+Pokemon+card&hash=item2bfb6fec39:g:uKAAAeSwP-Rqn5hr,2026-09-12T23:42:48.395762+00:00
D3-D3918BBEE2F7BF50,COVERAGE_BLIND,10a47631-ea19-4b62-8a93-4b1b3e6b3013,780a248c-87ff-4879-955c-3d6bea287aca,Lt. Surge's Bargain,Mega Evolution,185,special_illustration_rare,v1|146982692354|0,Pokémon TCG Lt. Surge’s Bargain Trainer 185/132 Mega Evolution,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",carter71johnson,https://i.ebayimg.com/images/g/yVMAAeSwlURpIs2N/s-l225.jpg,https://www.ebay.com/itm/146982692354?_skw=Lt.+Surge%27s+Bargain+185+Mega+Evolution+Pokemon+card&hash=item2238d9e602:g:yVMAAeSwlURpIs2N,2026-09-12T23:42:48.395762+00:00
D3-418F0FED931F5471,COVERAGE_BLIND,10a47631-ea19-4b62-8a93-4b1b3e6b3013,780a248c-87ff-4879-955c-3d6bea287aca,Lt. Surge's Bargain,Mega Evolution,185,special_illustration_rare,v1|800636047401|0,Lt. Surge's Bargain SIR 185/132 Me01: Mega Evolution Holo Pokemon,,Ungraded,4000,[],"[""AUCTION""]",randuhm-poke-network,https://i.ebayimg.com/images/g/tSgAAeSwVqZqoWHk/s-l225.jpg,https://www.ebay.com/itm/800636047401?_skw=Lt.+Surge%27s+Bargain+185+Mega+Evolution+Pokemon+card&hash=itemba69a09029:g:tSgAAeSwVqZqoWHk,2026-09-12T23:42:48.395762+00:00
D3-3586E64A4CC02FE8,COVERAGE_BLIND,10a47631-ea19-4b62-8a93-4b1b3e6b3013,780a248c-87ff-4879-955c-3d6bea287aca,Lt. Surge's Bargain,Mega Evolution,185,special_illustration_rare,v1|227406576163|0,Lt. Surge's Bargain 185/132 Pokemon Mega Evolution Holo,,Ungraded,4000,[],"[""FIXED_PRICE""]",xiv.000,https://i.ebayimg.com/images/g/mMoAAeSwUtpqQJ~C/s-l225.jpg,https://www.ebay.com/itm/227406576163?_skw=Lt.+Surge%27s+Bargain+185+Mega+Evolution+Pokemon+card&hash=item34f27cfa23:g:mMoAAeSwUtpqQJ~C,2026-09-12T23:42:48.395762+00:00
D3-496A9D77624D9F81,COVERAGE_BLIND,10a47631-ea19-4b62-8a93-4b1b3e6b3013,780a248c-87ff-4879-955c-3d6bea287aca,Lt. Surge's Bargain,Mega Evolution,185,special_illustration_rare,v1|318731385391|0,Pokémon TCG Lt. Surges Bargain SIR Plus Extras!! ,,Ungraded,4000,[],"[""FIXED_PRICE""]",raystcg-937,https://i.ebayimg.com/images/g/QFIAAeSwRT9qf6bK/s-l225.jpg,https://www.ebay.com/itm/318731385391?_skw=Lt.+Surge%27s+Bargain+185+Mega+Evolution+Pokemon+card&hash=item4a35defa2f:g:QFIAAeSwRT9qf6bK,2026-09-12T23:42:48.395762+00:00
D3-9B7207D1E85224E8,COVERAGE_BLIND,10a47631-ea19-4b62-8a93-4b1b3e6b3013,780a248c-87ff-4879-955c-3d6bea287aca,Lt. Surge's Bargain,Mega Evolution,185,special_illustration_rare,v1|407015882139|0,Pokemon Lt. Surge's Bargain 185/132 . Mega Evolutions,,Ungraded,4000,[],"[""FIXED_PRICE""]",iocastle,https://i.ebayimg.com/images/g/zQkAAeSw~4xqNw-~/s-l225.jpg,https://www.ebay.com/itm/407015882139?_skw=Lt.+Surge%27s+Bargain+185+Mega+Evolution+Pokemon+card&hash=item5ec4097d9b:g:zQkAAeSw~4xqNw-~,2026-09-12T23:42:48.395762+00:00
D3-9FD987D773AD8AB5,COVERAGE_BLIND,10a47631-ea19-4b62-8a93-4b1b3e6b3013,780a248c-87ff-4879-955c-3d6bea287aca,Lt. Surge's Bargain,Mega Evolution,185,special_illustration_rare,v1|237028611994|0,Lt. Surge's Bargain 185/132 Holo Trainer Supporter ME01 Mega Evolution EN,,Ungraded,4000,[],"[""FIXED_PRICE""]",osds.chris,https://i.ebayimg.com/images/g/lEQAAeSw0BpqjTGo/s-l225.jpg,https://www.ebay.com/itm/237028611994?_skw=Lt.+Surge%27s+Bargain+185+Mega+Evolution+Pokemon+card&hash=item373001979a:g:lEQAAeSw0BpqjTGo,2026-09-12T23:42:48.395762+00:00
D3-C1E498C253AF8DC1,COVERAGE_BLIND,147a436d-4ccc-43d1-b19a-20b74d2ff723,a86eb8d9-0e89-4e02-879a-d587dbfe0252,Carmine,Twilight Masquerade,217,special_illustration_rare,v1|318838161376|0,Carmine 217/167 SIR Twilight Masquerade Pokemon Holofoil Near Mint,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",bigripperresale,https://i.ebayimg.com/images/g/tj4AAeSw9XJqnpf7/s-l225.jpg,https://www.ebay.com/itm/318838161376?_skw=Carmine+217+Twilight+Masquerade+Pokemon+card&hash=item4a3c3c3fe0:g:tj4AAeSw9XJqnpf7,2026-09-12T23:42:48.395762+00:00
D3-557704AD75CAA2F0,COVERAGE_BLIND,147a436d-4ccc-43d1-b19a-20b74d2ff723,a86eb8d9-0e89-4e02-879a-d587dbfe0252,Carmine,Twilight Masquerade,217,special_illustration_rare,v1|398143979570|0,Carmine - SV06: Twilight Masquerade 217/167 Holo NM,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",pokeplebcollectibles,https://i.ebayimg.com/images/g/s1oAAeSwt8NqSvEH/s-l225.jpg,https://www.ebay.com/itm/398143979570?_skw=Carmine+217+Twilight+Masquerade+Pokemon+card&hash=item5cb33b0032:g:s1oAAeSwt8NqSvEH,2026-09-12T23:42:48.395762+00:00
D3-AAC11BA421AAE8B1,COVERAGE_BLIND,147a436d-4ccc-43d1-b19a-20b74d2ff723,a86eb8d9-0e89-4e02-879a-d587dbfe0252,Carmine,Twilight Masquerade,217,special_illustration_rare,v1|287553646657|0,2024 Pokemon TWM en Carmine Special Illustration #217 PSA 9 Mint,,Graded,2750,[],"[""FIXED_PRICE"",""BEST_OFFER""]",g_j_cards,https://i.ebayimg.com/images/g/UgcAAeSwzbZqk6Fa/s-l225.jpg,https://www.ebay.com/itm/287553646657?_skw=Carmine+217+Twilight+Masquerade+Pokemon+card&hash=item42f3887041:g:UgcAAeSwzbZqk6Fa,2026-09-12T23:42:48.395762+00:00
D3-6E3B833BC91EFC53,COVERAGE_BLIND,147a436d-4ccc-43d1-b19a-20b74d2ff723,a86eb8d9-0e89-4e02-879a-d587dbfe0252,Carmine,Twilight Masquerade,217,special_illustration_rare,v1|358738785440|0,Carmine Special Illustration Rare Holo SV06: Twilight Masquerade 217/167 NM,,Ungraded,4000,[],"[""FIXED_PRICE"",""BEST_OFFER""]",hawshopp,https://i.ebayimg.com/images/g/tykAAeSw23FqQ8kq/s-l225.jpg,https://www.ebay.com/itm/358738785440?_skw=Carmine+217+Twilight+Masquerade+Pokemon+card&hash=item53867f74a0:g:tykAAeSw23FqQ8kq,2026-09-12T23:42:48.395762+00:00
